geneName	strain 	copy	fpkm	total	length	condition	depth_n_total
CG1894	A3	7	0.2478586113	68	1504	ctl	67.6357353
CG2233	A3	2	160.0289207	51844	1776	ctl	51566.28031
fiz	A3	1	18.43592871	11350	3375	ctl	11289.19994
CG15044	A3	2	53.50666838	8023	822	ctl	7980.022122
CG15043	A3	2	266.6782677	47235	971	ctl	46981.96996
Mgstl	A3	1	105.5172772	21673	1126	ctl	21556.90134
Gs1	A4	1	112.0405122	49688	2396	ctl	48706.42645
cyp28d1	A4	2	106.1804779	39051	1987	ctl	38279.55763
Prosβ5R2	A4	1	0.003524262334	1	1533	ctl	0.9802452595
Haspin	A4	1	0.7749495219	2930	20427	ctl	2872.11861
IntS3	A4	2	6.426211675	8520	7163	ctl	8351.689611
photorepair	A4	1	9.025771186	3393	2031	ctl	3325.972166
θTrypsin	A4	1	103.4458546	20047	1047	ctl	19650.97672
CG6472	A4	2	0.2631490501	194	3983	ctl	190.1675803
Lapsyn	A4	2	2.270217423	2467	5871	ctl	2418.265055
Glycogenin	A4	2	29.302083	56015	10328	ctl	54908.43821
CG44245	A4	2	59.21094701	136731	12476	ctl	134029.9146
Ugt49B1	A4	5	434.5025785	168326	2093	ctl	165000.7636
Ugt49C1	A4	5	20.12705167	8736	2345	ctl	8563.422587
CG17658	A4	2	0.3049682358	109	1931	ctl	106.8467333
spook	A4	1	0.3304666044	152	2485	ctl	148.9972794
Alp9	A4	1	3.458076228	1179	1842	ctl	1155.709161
Snakeskin	A4	1	63.38073163	14758	1258	ctl	14466.45954
mRpS5	A4	2	29.21842384	33963	6280	ctl	33292.06975
Or85f	A4	2	1.238530917	312	1361	ctl	305.836521
CG34117	A4	2	62.44353537	5594	484	ctl	5483.491982
Ugt86Dh	A4	2	7.718509179	2943	2060	ctl	2884.861799
DNAlig3	A4	2	11.76408484	6160	2829	ctl	6038.310799
CG31157	A4	3	3.345986723	981	1584	ctl	961.6205996
CG7966	A4	3	79.74754976	30348	2056	ctl	29748.48314
CG6912	A4	2	36.08795394	12718	1904	ctl	12466.75921
CG6125	A4	1	8.030048345	6620	4454	ctl	6489.223618
Dlc90F	A4	1	67.8795016	10403	828	ctl	10197.49143
CG18600	A4	1	22.57227305	6409	1534	ctl	6282.391868
Ugt303B3	A4	2	5.710650715	1910	1807	ctl	1872.268446
CG1894	A4	1	0.179610843	50	1504	ctl	49.01226298
CG2233	A4	1	55.30460574	18180	1776	ctl	17820.85882
fiz	A4	2	12.67672149	7919	3375	ctl	7762.56221
CG15044	A4	1	22.99102697	3498	822	ctl	3428.897918
CG15043	A4	1	92.27979672	16585	971	ctl	16257.36763
Mgstl	A4	2	175.6979171	36618	1126	ctl	35894.62091
Gs1	A3	2	250.9583366	109097	2396	nic	109097
cyp28d1	A3	1	35.04994837	12636	1987	nic	12636
Prosβ5R2	A3	2	0	0	1533	nic	0
Haspin	A3	2	2.239530241	10806	26594	nic	10806
IntS3	A3	1	6.297952272	8185	7163	nic	8185
photorepair	A3	2	20.19010812	7440	2031	nic	7440
θTrypsin	A3	2	166.4632177	31622	1047	nic	31622
CG6472	A3	1	0.8357998035	604	3983	nic	604
Lapsyn	A3	1	3.272584996	3486	5871	nic	3486
Glycogenin	A3	1	25.5822839	47938	10328	nic	47938
CG44245	A3	1	46.34387185	104904	12476	nic	104904
Ugt49B1	A3	1	82.06267391	31163	2093	nic	31163
Ugt49C1	A3	1	5.269487683	2242	2345	nic	2242
CG17658	A3	1	0.1541299787	54	1931	nic	54
spook	A3	2	0.2705883349	122	2485	nic	122
Alp9	A3	3	1.032298037	345	1842	nic	345
Snakeskin	A3	2	121.0169292	24438	1113	nic	24438
mRpS5	A3	1	25.53666638	29097	6280	nic	29097
Or85f	A3	1	0.07694335307	19	1361	nic	19
CG34117	A3	1	20.50897632	1801	484	nic	1801
Ugt86Dh	A3	1	6.977319605	3018	2384	nic	3018
DNAlig3	A3	1	4.062082544	2085	2829	nic	2085
CG31157	A3	1	0.5428065175	156	1584	nic	156
CG7966	A3	1	16.29881767	6080	2056	nic	6080
CG6912	A3	1	34.08549491	11775	1904	nic	11775
CG6125	A3	2	16.48151153	13319	4454	nic	13319
Dlc90F	A3	2	63.05693148	9473	828	nic	9473
CG18600	A3	2	12.945372	3603	1534	nic	3603
Ugt303B3	A3	3	25.00491565	8198	1807	nic	8198
CG1894	A3	7	0.974786336	266	1504	nic	266
CG2233	A3	2	628.3535581	202475	1776	nic	202475
fiz	A3	1	25.76477065	15777	3375	nic	15777
CG15044	A3	2	96.40560718	14378	822	nic	14378
CG15043	A3	2	379.0668653	66782	971	nic	66782
Mgstl	A3	1	83.28056645	17014	1126	nic	17014
Gs1	A4	1	196.3657079	86772	2396	nic	85364.4072
cyp28d1	A4	2	97.04777619	35564	1987	nic	34987.09005
Prosβ5R2	A4	1	0	0	1533	nic	0
Haspin	A4	1	0.7580999499	2856	20427	nic	2809.670711
IntS3	A4	2	6.188218843	8175	7163	nic	8042.387278
photorepair	A4	1	7.819559741	2929	2031	nic	2881.486524
θTrypsin	A4	1	94.75067742	18296	1047	nic	17999.20705
CG6472	A4	2	1.225194551	900	3983	nic	885.4004343
Lapsyn	A4	2	2.718009907	2943	5871	nic	2895.25942
Glycogenin	A4	2	33.73471691	64257	10328	nic	63214.63967
CG44245	A4	2	70.0918029	161276	12476	nic	158659.8227
Ugt49B1	A4	5	522.3984164	201650	2093	nic	198378.8862
Ugt49C1	A4	5	22.10949108	9562	2345	nic	9406.887725
CG17658	A4	2	0.2218286679	79	1931	nic	77.71848257
spook	A4	1	0.2945643802	135	2485	nic	132.8100651
Alp9	A4	1	14.40318184	4893	1842	nic	4813.627028
Snakeskin	A4	1	65.92371815	15295	1258	nic	15046.88849
mRpS5	A4	2	22.15663027	25662	6280	nic	25245.71772
Or85f	A4	2	1.059732772	266	1361	nic	261.6850172
CG34117	A4	2	48.87791874	4363	484	nic	4292.22455
Ugt86Dh	A4	2	12.03611804	5292	2384	nic	5206.154554
DNAlig3	A4	2	11.52857258	6015	2829	nic	5917.426236
CG31157	A4	3	2.899352949	847	1584	nic	833.2601865
CG7966	A4	3	73.74515726	27963	2056	nic	27509.39149
CG6912	A4	2	61.91066222	21740	1904	nic	21387.33938
CG6125	A4	1	9.214274504	7569	4454	nic	7446.217652
Dlc90F	A4	1	62.79366555	9589	828	nic	9433.449738
CG18600	A4	1	8.617498081	2438	1534	nic	2398.451399
Ugt303B3	A4	2	8.437815356	2812	1807	nic	2766.384468
CG1894	A4	1	0.1694427048	47	1504	nic	46.23757824
CG2233	A4	1	114.3509281	37455	1776	nic	36847.41474
fiz	A4	2	22.70562367	14133	3375	nic	13903.73815
CG15044	A4	1	43.66757005	6620	822	nic	6512.612083
CG15043	A4	1	105.1710452	18834	971	nic	18528.47975
Mgstl	A4	2	191.2156409	39709	1126	nic	39064.85094
